Sample:,Sex,group,B Cells,B220+ F4/80+,DCs,CD8dcs,CD4 DCs,B220-macs,NK,T cells,CD4 T cells,CD4 CD69,CD8,CD8 CD69,CD4 CD25 CD69-ve,CD4 DP
April 24_MS132_016.fcs,Male,PFOS 1,29,12.1,1.55,8.69,25.4,2.92,2.05,46.8,44.6,3.01,51.2,1,1.22,0.24
April 25_MS133_015.fcs,Male,PFOS 1,43.6,11.4,1.15,14.8,30,2.88,1.63,25.9,55.2,2.09,39,0.8,0.88,0.18
April 25_MS134_016.fcs,Male,PFOS 1,34.1,10.7,1.81,10.3,35.7,2.38,1.59,35.2,49.3,3.06,46.5,1.1,1.44,0.43
April 26_MS135_017.fcs,Male,PFOS 1,33.4,17.4,1.72,6.93,29.6,3.55,1.78,36.8,45.3,4.29,50.3,1.14,1.49,0.46
April 26_MS136_018.fcs,Male,PFOS 1,36.3,15.8,1.3,6.01,42,2.71,1.16,37.6,49.1,3.93,47.1,0.79,1.64,0.39
April 23_MS137_019.fcs,Male,PFOS 1.5,41.5,3.39,1.25,39.3,9.19,2.98,1.74,31.3,57.6,2.5,34.1,1.56,1.17,0.2
April 23_MS138_020.fcs,Male,PFOS 1.5,42.1,10.1,2.2,16.6,33.3,2.7,1.7,34.1,57.4,3.37,38.4,0.99,2.92,0.61
April 24_MS139_017.fcs,Male,PFOS 1.5,35,10.9,1.57,7.76,30.3,2.38,1.11,43.8,46.5,3.1,49.1,1.17,1.11,0.18
April 24_MS140_018.fcs,Male,PFOS 1.5,32.4,15.9,1.78,9.19,34.2,3.14,1.55,39.1,49.9,2.89,46.3,0.94,1.16,0.2
April 25_MS141_017.fcs,Male,PFOS 1.5,27.3,18.9,1.83,8.27,35.3,4.93,1.43,37.6,49.6,2.94,45.6,1.06,1.11,0.22
April 25_MS142_018.fcs,Male,PFOS 1.5,48.4,7.27,1.72,20.2,35.4,2.45,1.44,25.9,69,2.46,26.4,0.64,2.05,0.41
April 26_MS143_019.fcs,Male,PFOS 1.5,28.6,17.5,2.02,8.22,34.7,4.76,2.11,37.4,47.1,3.68,48.8,1.36,1.41,0.35
April 26_MS144_020.fcs,Male,PFOS 1.5,37.1,14.8,1.74,6.81,34.7,3.5,1.4,35.3,51,3.03,44.8,0.88,1.6,0.27
April 23_MV73_003.fcs,Male,Vehicle,33.3,16.2,2.08,11.8,22.9,2.56,2.56,37.5,49.8,3.22,46.2,1.13,1.62,0.42
April 23_MV74_004.fcs,Male,Vehicle,37.6,7.9,1.38,18.4,24.7,2.34,2.67,28.3,59.4,3.16,34.1,1.04,1.25,0.23
April 24_MV75_003.fcs,Male,Vehicle,40.4,10.7,1.43,14.3,30.3,2.36,3.25,26,58.1,2.74,33.6,1.32,0.48,0.13
April 24_MV76_004.fcs,Male,Vehicle,30.2,13.9,1.74,10.8,30.8,2.92,1.84,43,56.6,3.57,38.6,1.07,2.85,0.45
April 25_MV77_003.fcs,Male,Vehicle,32.6,14.9,1.79,6.4,31.2,3.01,1.67,37.9,53,3.38,41.8,1.13,1.18,0.28
April 25_MV78_004.fcs,Male,Vehicle,38.4,17.6,1.15,9.42,35.5,3.2,1.78,30.4,50.9,2.77,43.5,1.04,0.83,0.19
April 26_MV79_003.fcs,Male,Vehicle,32,21.2,1.54,6.7,30.2,3.92,1.85,34,47.5,3.37,46.1,0.96,1.07,0.28
April 26_MV80_004.fcs,Male,Vehicle,52.8,2.89,0.76,30.6,26.4,0.44,0.77,33.3,45.3,1.57,46.7,0.71,1.06,0.14
